ID,Name,Sex,Age,Height,Weight,Team,NOC,Year,City,Sport,Event
8554,Michael Jeremy Bates,M,26.0,180.0,72.0,Great Britain,GBR,1988,Seoul,Tennis,Tennis Men's Doubles
8559,Vladimir Batez,M,26.0,192.0,85.0,Serbia and Montenegro,SCG,1996,Atlanta,Volleyball,Volleyball Men's Volleyball
8559,Vladimir Batez,M,31.0,192.0,85.0,Serbia and Montenegro,SCG,2000,Sydney,Volleyball,Volleyball Men's Volleyball
8592,Alexis Batle Arredono,M,24.0,191.0,90.0,Cuba,CUB,1996,Atlanta,Volleyball,Volleyball Men's Volleyball
8599,Csilla Btorfi,F,19.0,165.0,69.0,Hungary,HUN,1988,Seoul,Table Tennis,Table Tennis Women's Singles
8599,Csilla Btorfi,F,19.0,165.0,69.0,Hungary,HUN,1988,Seoul,Table Tennis,Table Tennis Women's Doubles
8599,Csilla Btorfi,F,23.0,165.0,69.0,Hungary,HUN,1992,Barcelona,Table Tennis,Table Tennis Women's Singles
8599,Csilla Btorfi,F,27.0,165.0,69.0,Hungary,HUN,1996,Atlanta,Table Tennis,Table Tennis Women's Singles
8599,Csilla Btorfi,F,27.0,165.0,69.0,Hungary,HUN,1996,Atlanta,Table Tennis,Table Tennis Women's Doubles
8599,Csilla Btorfi,F,31.0,165.0,69.0,Hungary,HUN,2000,Sydney,Table Tennis,Table Tennis Women's Singles
8599,Csilla Btorfi,F,31.0,165.0,69.0,Hungary,HUN,2000,Sydney,Table Tennis,Table Tennis Women's Doubles
8599,Csilla Btorfi,F,35.0,165.0,69.0,Hungary,HUN,2004,Athina,Table Tennis,Table Tennis Women's Singles
8599,Csilla Btorfi,F,35.0,165.0,69.0,Hungary,HUN,2004,Athina,Table Tennis,Table Tennis Women's Doubles
8600,Zoltn Btorfi,M,21.0,188.0,79.0,Hungary,HUN,1996,Atlanta,Table Tennis,Table Tennis Men's Singles
8604,Manika Batra,F,21.0,179.0,63.0,India,IND,2016,Rio de Janeiro,Table Tennis,Table Tennis Women's Singles
8646,Yelena Nikolayevna Batukhtina-Tyurina,F,21.0,184.0,82.0,Unified Team,EUN,1992,Barcelona,Volleyball,Volleyball Women's Volleyball
8646,Yelena Nikolayevna Batukhtina-Tyurina,F,25.0,184.0,82.0,Russia,RUS,1996,Atlanta,Volleyball,Volleyball Women's Volleyball
8646,Yelena Nikolayevna Batukhtina-Tyurina,F,29.0,184.0,82.0,Russia,RUS,2000,Sydney,Volleyball,Volleyball Women's Volleyball
