Name,Position,Weight,Height,Age,Team
John Kelly,RB,205,70,29,baltimore-ravens
Yannick Ngakoue,LB,250,75,29,baltimore-ravens
Cal Adomitis,LS,238,74,26,cincinnati-bengals
Tycen Anderson,DB,209,74,25,cincinnati-bengals
Daijahn Anthony,DB,191,72,24,cincinnati-bengals
Joe Bachie,LB,235,74,26,cincinnati-bengals
Jordan Battle,DB,210,73,23,cincinnati-bengals
Vonn Bell,DB,205,71,29,cincinnati-bengals
Chase Brown,RB,211,70,24,cincinnati-bengals
Orlando Brown,OT,345,80,28,cincinnati-bengals
Jake Browning,QB,209,74,28,cincinnati-bengals
Joe Burrow,QB,215,76,27,cincinnati-bengals
Jermaine Burton,WR,194,72,23,cincinnati-bengals
Alex Cappa,OG,310,78,29,cincinnati-bengals
Ja'Marr Chase,WR,201,72,24,cincinnati-bengals
Devin Cochran,OT,310,79,26,cincinnati-bengals
Akeem Davis,LB,228,74,27,cincinnati-bengals
Cody Ford,OG,329,75,27,cincinnati-bengals
Mike Gesicki,TE,252,78,29,cincinnati-bengals
Cam Grandy,TE,253,77,24,cincinnati-bengals
Trey Hendrickson,DE,270,76,29,cincinnati-bengals
Khalil Herbert,RB,212,69,26,cincinnati-bengals
Tee Higgins,DT,311,75,29,cincinnati-bengals
Mike Hilton,DB,184,69,30,cincinnati-bengals
Sam Hubbard,DE,265,77,29,cincinnati-bengals
Tanner Hudson,TE,239,77,30,cincinnati-bengals
Andrei Iosivas,WR,205,75,25,cincinnati-bengals
Trenton Irwin,WR,200,74,28,cincinnati-bengals
DJ Ivey,DB,192,73,24,cincinnati-bengals
McKinnley Jackson,DT,331,74,22,cincinnati-bengals
Kris Jenkins,DT,305,75,23,cincinnati-bengals
Cedric Johnson,DE,260,75,22,cincinnati-bengals
Charlie Jones,WR,183,72,26,cincinnati-bengals
Ted Karras,C,310,76,31,cincinnati-bengals
Matthew Lee,C,301,76,23,cincinnati-bengals
Tanner McLachlan,TE,245,77,25,cincinnati-bengals
Evan McPherson,K,185,71,25,cincinnati-bengals
Amarius Mims,OT,340,80,22,cincinnati-bengals
Myles Murphy,DE,270,77,22,cincinnati-bengals
Josh Newton,DB,190,72,24,cincinnati-bengals
Maema Njongmeta,LB,230,72,23,cincinnati-bengals
Joseph Ossai,DE,263,76,24,cincinnati-bengals
Germaine Pratt,LB,250,75,28,cincinnati-bengals
